movieId,theatreId,totalSeats,availableSeats,screenName,language,startTime,endTime,format,availability
172677,56451,94,88,SCREEN 02,,2025-08-17T02:20:00,2025-08-17T02:20:00,2D,88
172677,1052276,707,112,Veerabhadreshwara  Theatre,,2025-08-17T04:45:00,2025-08-17T03:35:00,2D,112
172677,1052276,707,116,Veerabhadreshwara  Theatre,,2025-08-17T16:30:00,2025-08-17T15:20:00,2D,116
172677,4196,577,148,Vinayaka,,2025-08-17T08:45:00,2025-08-17T08:15:00,2D,148
172677,4196,577,151,Vinayaka,,2025-08-17T05:00:00,2025-08-17T04:30:00,2D,151
172677,4196,577,156,Vinayaka,,2025-08-17T12:30:00,2025-08-17T12:00:00,2D,156
172677,4196,577,156,Vinayaka,,2025-08-17T16:15:00,2025-08-17T15:45:00,2D,156
172677,9637,236,201,AUDI 5,,2025-08-17T08:10:00,2025-08-17T08:10:00,2D,201
172677,9637,236,214,AUDI 5,,2025-08-17T04:35:00,2025-08-17T04:35:00,2D,214
172677,9637,236,226,AUDI 5,,2025-08-17T15:20:00,2025-08-17T15:20:00,2D,226
172677,9637,236,212,AUDI 5,,2025-08-17T11:45:00,2025-08-17T11:45:00,2D,212
172677,9637,150,128,AUDI 1,,2025-08-17T06:35:00,2025-08-17T06:35:00,2D,128
172677,9637,150,138,AUDI 1,,2025-08-17T03:00:00,2025-08-17T03:00:00,2D,138
172677,9637,150,134,AUDI 1,,2025-08-17T13:00:00,2025-08-17T13:00:00,2D,134
172677,9637,150,140,AUDI 1,,2025-08-17T16:35:00,2025-08-17T16:35:00,2D,140
172677,9637,203,187,AUDI 4,,2025-08-17T16:50:00,2025-08-17T16:50:00,2D,187
172677,9637,203,181,AUDI 4,,2025-08-17T13:15:00,2025-08-17T13:15:00,2D,181
172677,9637,203,165,AUDI 4,,2025-08-17T09:40:00,2025-08-17T09:40:00,2D,165
172677,9637,203,189,AUDI 4,,2025-08-17T06:05:00,2025-08-17T06:05:00,2D,189
172677,9637,236,225,AUDI 5,,2025-08-17T01:00:00,2025-08-17T01:00:00,2D,225
172677,1039754,321,321,AUDI 3,,2025-08-17T01:00:00,2025-08-17T01:25:00,2D,321
